"bank","address","label","original_string","translated[en]","translated[fr]","translated[id]","notes","notes2","text_kind","","","","","","","","","","","","","","","","","",""
"0c","4216","","神木村","Kamiki Village","","","deepl","","signpost","","","","","","","","","","","","","","","","","",""
"0c","421e","","←奇蹟之泉","←Spring of Miracles","","","deepl","","signpost","","","","","","","","","","","","","","","","","",""
"0c","4229","","↓雷達站","↓Radar Station","","","deepl","","signpost","","","","","","","","","","","","","","","","","",""
"0c","4233","","→神木村","→Kamiki Village","","","deepl","","signpost","","","","","","","","","","","","","","","","","",""
"0c","423d","","↑神木村
↓雷達站","↑Kamiki Village
↓Radar Station","","","deepl","","signpost","","","","","","","","","","","","","","","","","",""
"0c","4250","","雷達站","Radar Station","","","deepl","","signpost","","","","","","","","","","","","","","","","","",""
"0c","4258","","人魚村","Mermaid Village","","","deepl","","signpost","","","","","","","","","","","","","","","","","",""
"0c","4260","","海巫之殿","Temple of the Sea Witch","","","deepl","","signpost","","","","","","","","","","","","","","","","","",""
"0c","426a","","生之谷","Valley of Life","","","deepl","","signpost","","","","","","","","","","","","","","","","","",""
"0c","4272","","↑生之谷
 死之谷","↑ Valley of Life
 Valley of the Dead","","","deepl","","signpost","","","","","","","","","","","","","","","","","",""
"0c","4283","","↓神木村
→地熱城","↓ Kamiki Village
→Geosear","","","deepl","","signpost","","","","","","","","","","","","","","","","","",""
