"bank","address","label","original_string","translated_string","notes","notes2","","","","","","","","","","","","","","","","","","",""
"0c","4152","","多魯市","Dorington","","","","","","","","","","","","","","","","","","","","",""
"0c","415a","","←鐘塔","←Clock Tower","","","","","","","","","","","","","","","","","","","","",""
"0c","4162","","↓山達農莊","↓Sanda Farm","","","","","","","","","","","","","","","","","","","","",""
"0c","416d","","山達農莊","Shanda Farm","","","","","","","","","","","","","","","","","","","","",""
"0c","4176","","←咖啡林","←Coffee Forest","","","","","","","","","","","","","","","","","","","","",""
"0c","417f","","↑多魯市","↑Dorington","","","","","","","","","","","","","","","","","","","","",""
"0c","4189","","↓山達農莊","↓Sanda Farm","","","","","","","","","","","","","","","","","","","","",""
"0c","4194","","↑咖啡林
←天之岩
↓山達農莊","↑Coffee Forest
←Sky Rock
↓Sanda Farm","","","","","","","","","","","","","","","","","","","","",""
"0c","41af","","咖啡林","Coffee Forest","","","","","","","","","","","","","","","","","","","","",""
"0c","41b6","","天之岩","Sky Rock","","","","","","","","","","","","","","","","","","","","",""
